x,y,color
0.6820160577617393,-0.8018495210832093,blue
2.3566672596399068,-2.746581225387233,blue
-0.05431578800400115,1.186326895845669,red
-0.13026665922777525,-1.3876743288776165,blue
-1.8150425114322284,2.8646892316347294,blue
-1.6219547576223776,0.45484059070814276,blue
-2.957106106686707,-2.229480135997207,blue
1.3135429917069645,-2.512539061820898,blue
0.3311519283192954,0.790415460100033,blue
2.4266224258432265,-1.8988464641952674,blue
-1.130616057181689,-1.6889060210360416,blue
2.3397191180301355,-1.0147092647689389,blue
-0.9793978012931315,-0.5374879416100149,blue
2.1835612150987096,0.664069234493585,blue
2.2812603776208453,-2.00527470099036,blue
-2.44326187590981,2.208950663422641,blue
2.494823193918667,-0.9274219946829567,blue
2.2994363905202073,-0.7057691094096645,blue
-0.42613816192732257,-0.09598949160966175,blue
1.238212612006861,-1.189662587209039,blue
-0.6975314222529372,-2.8289621159642895,blue
2.8414247436829676,1.0478217730543928,blue
2.7543608073465844,-0.48363221786535426,blue
-0.4533769786303927,2.815048575451085,blue
0.4963654452824726,1.3760987999931782,blue
2.293528353295068,1.8042813304352645,blue
1.345356559284646,-1.5000371305157028,blue
2.5052133626570816,0.8234638584141036,blue
0.43544962722786007,2.3573369781952085,blue
2.1565700976361697,-0.19787689098518135,red
-2.4965809270749735,2.5347452546628384,blue
-0.6877012545355736,-2.8511793442588207,blue
-0.11472157727342402,-0.8891356565362631,blue
2.647365264377804,-1.5251668272655385,blue
0.5756661460363128,-0.07310935289379206,blue
0.8793143082418142,0.7566109838965729,blue
-0.4060921099130428,-1.7013037438864707,blue
-2.360093140455846,-1.143071306623781,blue
-2.135645943265545,1.0297295846434498,blue
-1.8411838129546843,-0.5527630326914021,blue
1.8972953861379462,2.61858328412061,blue
2.9066810705707162,1.8816826225910122,blue
2.9972081557641124,2.3174567690820034,blue
0.38087337938775523,-2.023420518353933,blue
2.4685001943799243,1.4671678795888958,blue
2.527041485753866,-0.7114866202953674,blue
0.2625502154720234,-0.25499900038825585,blue
1.6698687375795442,-0.6885091949637592,blue
0.2053685815234365,2.0349130779230906,blue
0.4966862656137474,-1.337204844093102,blue
2.7154472498327067,-2.2081783215751285,blue
-1.188576030646086,-1.1838131214749834,blue
-2.943965084622155,1.054353796114233,blue
2.0035893926507775,-2.4577897714497836,blue
